country,year,suicides_no,population,Status,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling
Canada,2012,3926,32961196,Developing,81.6,68.0,2.0,8.3,9748.636237,7.0,10.0,65.3,2.0,99.0,1.78,95.0,0.1,52496.69487,0.5,0.5,0.907,15.9
Canada,2013,4054,33314836,Developing,81.8,67.0,2.0,8.2,9733.228019,55.0,83.0,65.8,2.0,91.0,1.67,91.0,0.1,52413.72116,0.5,0.5,0.909,15.9
Chile,2005,1682,14893574,Developing,78.4,93.0,2.0,7.57,954.9644887,,0.0,57.4,2.0,92.0,6.69,91.0,0.1,7615.3468,0.9,1.0,0.79,14.6
Chile,2006,1795,15071596,Developing,78.9,91.0,2.0,7.33,1275.689625,95.0,0.0,58.1,2.0,94.0,6.18,94.0,0.1,9484.681227,0.9,0.9,0.796,14.9
Chile,2007,1848,15245435,Developing,78.9,9.0,2.0,7.39,209.4875875,92.0,0.0,58.7,2.0,95.0,6.35,96.0,0.1,1526.87746,0.9,0.9,0.797,14.8
Chile,2008,2088,15415661,Developing,79.6,88.0,2.0,7.31,241.5533381,95.0,0.0,59.3,2.0,95.0,6.87,95.0,0.1,1781.3668,0.9,0.9,0.804,15.2
Chile,2009,2148,15584149,Developing,79.3,91.0,2.0,7.67,181.525923,94.0,1.0,59.9,2.0,94.0,7.39,94.0,0.1,1243.32824,0.8,0.9,0.816,15.3
Chile,2010,2001,15751851,Developing,79.1,89.0,2.0,7.93,177.4925143,92.0,0.0,6.6,2.0,92.0,6.97,92.0,0.1,1286.17764,0.8,0.9,0.815,15.2
Chile,2011,2027,15910783,Developing,79.8,86.0,2.0,7.26,211.614293,94.0,6.0,61.2,2.0,93.0,7.0,94.0,0.1,1475.69242,0.8,0.8,0.82,15.4
Chile,2012,1841,16075247,Developing,79.9,84.0,2.0,6.76,2260.777642,9.0,0.0,61.8,2.0,9.0,7.24,9.0,0.1,15431.9293,0.8,0.8,0.826,15.5
Chile,2013,1738,16242244,Developing,81.0,84.0,2.0,7.2,2442.222054,9.0,0.0,62.5,2.0,9.0,7.53,91.0,0.1,15941.39722,0.8,0.8,0.831,15.6
Chile,2014,1789,16406867,Developing,83.0,83.0,2.0,7.16,2352.999591,95.0,0.0,63.1,2.0,95.0,7.79,95.0,0.1,14817.37778,0.8,0.8,0.841,16.2
Chile,2015,1838,16565725,Developing,85.0,82.0,2.0,,0.0,97.0,9.0,63.8,2.0,96.0,,96.0,0.1,13653.2264,0.8,0.8,0.845,16.3
Colombia,2005,2102,39172790,Developing,73.1,144.0,15.0,4.38,531.9808176,93.0,0.0,5.5,18.0,93.0,5.82,93.0,0.1,3386.256,2.4,2.1,0.658,11.1
Colombia,2006,2177,39708676,Developing,73.1,147.0,15.0,4.53,62.43710774,93.0,0.0,51.3,17.0,94.0,6.11,93.0,0.1,379.78776,2.3,2.1,0.669,11.5
Colombia,2007,2181,40275206,Developing,73.5,144.0,14.0,4.66,780.5946749,93.0,0.0,52.0,17.0,93.0,6.25,93.0,0.1,4674.21961,2.3,2.1,0.675,11.9
Colombia,2008,2220,40859129,Developing,73.5,146.0,14.0,4.45,978.07041,92.0,0.0,52.8,16.0,92.0,6.62,92.0,0.1,5433.7245,2.3,2.0,0.683,12.2
Colombia,2009,2249,41436173,Developing,73.6,15.0,13.0,4.34,941.6464045,92.0,0.0,53.5,15.0,92.0,7.1,92.0,0.1,5148.422113,2.2,2.0,0.691,12.4
Colombia,2010,2107,41989103,Developing,73.6,15.0,12.0,4.28,113.2436346,88.0,0.0,54.2,15.0,88.0,6.76,88.0,0.1,625.65544,2.2,2.0,0.695,12.8
Colombia,2011,2044,42538305,Developing,74.2,144.0,12.0,4.37,184.3073618,85.0,6.0,55.0,14.0,85.0,6.64,85.0,0.1,7227.73968,2.2,2.0,0.7,13.0
Colombia,2012,2119,43055864,Developing,74.3,143.0,11.0,4.44,1487.896562,92.0,1.0,55.7,13.0,91.0,6.93,91.0,0.1,7884.984429,2.1,1.9,0.707,13.2
Colombia,2013,2068,43546298,Developing,74.4,145.0,11.0,4.41,15.16255482,91.0,1.0,56.4,13.0,91.0,6.84,91.0,0.1,83.5863,2.1,1.9,0.712,13.3
Colombia,2014,2126,44021800,Developing,74.6,144.0,11.0,4.38,1435.487755,9.0,0.0,57.2,12.0,9.0,7.2,9.0,0.1,7913.383432,2.1,1.9,0.72,13.6
Colombia,2015,2332,44490427,Developing,74.8,143.0,10.0,,0.0,91.0,1.0,57.9,12.0,91.0,,91.0,0.1,644.525556,2.1,1.9,0.724,13.6
Costa Rica,2005,272,3887096,Developing,78.6,97.0,1.0,4.1,1002.833273,9.0,1.0,5.3,1.0,91.0,7.74,91.0,0.1,4697.11135,2.0,2.0,0.723,12.4
Costa Rica,2006,350,3953916,Developing,78.0,16.0,1.0,4.15,1185.412346,88.0,0.0,51.4,1.0,89.0,7.82,89.0,0.1,5245.187372,2.0,1.9,0.727,12.6
Costa Rica,2007,270,4015241,Developing,78.9,93.0,1.0,4.2,150.8891479,89.0,0.0,52.4,1.0,89.0,8.37,89.0,0.1,612.623418,1.9,1.9,0.734,12.8
Costa Rica,2008,261,4072561,Developing,78.9,99.0,1.0,4.22,1859.095621,89.0,0.0,53.4,1.0,89.0,9.1,9.0,0.1,6911.136136,1.9,1.8,0.74,12.9
Costa Rica,2009,278,4128459,Developing,79.2,96.0,1.0,4.07,24.88720369,87.0,0.0,54.4,1.0,8.0,9.69,86.0,0.1,689.396224,1.9,1.8,0.747,13.1
Costa Rica,2010,311,4184663,Developing,78.1,16.0,1.0,3.58,2377.010299,89.0,0.0,55.5,1.0,93.0,9.66,88.0,0.1,8199.414621,1.8,1.8,0.749,13.3
Costa Rica,2011,316,4235514,Developing,79.0,98.0,1.0,3.41,2429.854745,84.0,0.0,56.5,1.0,82.0,9.73,85.0,0.1,9186.59639,1.8,1.7,0.752,13.4
Costa Rica,2012,302,4290210,Developing,79.2,97.0,1.0,3.34,2568.237059,91.0,0.0,57.5,1.0,9.0,9.56,91.0,0.1,9985.36959,1.8,1.7,0.758,13.6
Costa Rica,2013,311,4347229,Developing,79.4,96.0,1.0,3.42,386.1379123,94.0,0.0,58.5,1.0,95.0,9.47,95.0,0.1,1569.66631,1.7,1.7,0.762,13.7
Costa Rica,2014,268,4403674,Developing,79.5,96.0,1.0,3.45,384.5129138,91.0,1.0,59.5,1.0,91.0,9.31,91.0,0.1,1647.44179,1.7,1.7,0.768,13.9
Croatia,2005,874,4235875,Developed,75.2,116.0,0.0,11.59,167.2319899,,2.0,57.5,0.0,96.0,6.89,96.0,0.1,1224.2459,1.8,1.8,0.777,13.6
Croatia,2006,796,4234946,Developed,75.9,113.0,0.0,11.83,1555.651986,,1.0,58.1,0.0,96.0,6.95,96.0,0.1,11363.41845,1.8,1.8,0.783,13.9
Croatia,2007,775,4230855,Developed,75.8,114.0,0.0,12.56,2019.812779,95.0,0.0,58.7,0.0,96.0,7.44,96.0,0.1,13546.69872,1.8,1.7,0.793,14.3
Croatia,2008,793,4225583,Developed,76.0,116.0,0.0,12.06,2425.403891,97.0,51.0,59.4,0.0,96.0,7.7,96.0,0.1,15893.8656,1.7,1.7,0.8,14.3
Croatia,2009,790,4216050,Developed,76.3,19.0,0.0,12.21,2160.380199,97.0,2.0,6.0,0.0,96.0,8.18,96.0,0.1,14157.14416,1.7,1.6,0.803,14.2
Croatia,2010,776,4203963,Developed,76.6,16.0,0.0,12.1,206.8868182,97.0,7.0,6.6,0.0,97.0,8.25,97.0,0.1,1355.74586,1.6,1.6,0.803,14.2
Croatia,2011,702,4189029,Developed,77.0,14.0,0.0,12.19,1913.356642,97.0,12.0,61.3,0.0,96.0,7.8,96.0,0.1,14539.18421,1.6,1.5,0.808,14.5
Croatia,2012,776,4054296,Developed,77.1,14.0,0.0,11.49,1851.713262,98.0,2.0,61.9,0.0,96.0,7.8,96.0,0.1,13235.97757,1.5,1.5,0.815,14.6
Croatia,2013,692,4044457,Developed,77.7,97.0,0.0,12.39,1899.107385,96.0,0.0,62.5,0.0,96.0,7.83,96.0,0.1,13574.749,1.5,1.5,0.817,14.9
Croatia,2014,722,4030452,Developed,77.8,97.0,0.0,12.14,1884.098811,95.0,0.0,63.1,0.0,95.0,7.8,95.0,0.1,13467.46827,1.5,1.5,0.82,15.1
Croatia,2015,739,4001669,Developed,78.0,95.0,0.0,,0.0,94.0,206.0,63.7,0.0,94.0,,94.0,0.1,11579.6674,1.5,1.4,0.823,15.3
Cuba,2005,1397,10616406,Developing,77.2,19.0,1.0,4.48,518.9359221,95.0,0.0,53.8,1.0,99.0,9.39,89.0,0.1,3779.577,3.4,3.3,0.719,14.2
Cuba,2006,1376,10653638,Developing,78.0,14.0,1.0,4.17,523.4724284,89.0,0.0,54.6,1.0,99.0,7.67,89.0,0.1,4669.6916,3.4,3.2,0.732,14.7
Cuba,2007,1307,10678023,Developing,78.1,14.0,1.0,4.13,750.7147641,93.0,0.0,55.4,1.0,99.0,1.42,93.0,0.1,5184.494227,3.4,3.2,0.754,16.0
Cuba,2008,1377,10693814,Developing,77.9,12.0,1.0,4.26,708.6157966,95.0,0.0,56.2,1.0,99.0,1.79,95.0,0.1,5376.447622,3.4,3.2,0.771,17.1
Cuba,2009,1477,10708230,Developing,78.1,11.0,1.0,4.01,818.8771016,96.0,0.0,56.9,1.0,99.0,11.78,96.0,0.1,5484.7763,3.4,3.2,0.782,17.7
Cuba,2010,1558,10725848,Developing,78.0,98.0,1.0,4.13,787.2808163,96.0,0.0,57.7,1.0,99.0,1.19,96.0,0.1,5676.14143,3.4,3.2,0.784,17.6
Cuba,2011,1529,10748034,Developing,78.8,92.0,1.0,4.14,102.0645784,96.0,0.0,58.4,1.0,99.0,1.6,97.0,0.1,675.92436,3.4,3.2,0.78,16.5
Cuba,2012,1495,10770535,Developing,78.7,96.0,1.0,4.16,742.1961992,96.0,0.0,59.2,1.0,98.0,8.59,99.0,0.1,6425.941119,3.4,3.2,0.778,15.7
Cuba,2013,1499,10792690,Developing,78.7,96.0,1.0,4.18,95.67571176,96.0,0.0,59.9,1.0,99.0,9.48,99.0,0.1,676.15344,3.4,3.3,0.773,14.7
Cuba,2014,1453,10813411,Developing,79.0,93.0,1.0,4.37,13.6691019,97.0,0.0,6.7,1.0,99.0,11.6,99.0,0.1,75.5199,3.4,3.3,0.772,14.0
Cuba,2015,1511,10832068,Developing,79.1,92.0,1.0,,0.0,99.0,0.0,61.4,1.0,99.0,,99.0,0.1,762.261218,3.5,3.3,0.773,13.9
Cyprus,2005,17,701263,Developed,78.7,65.0,0.0,11.41,1562.520827,88.0,1.0,55.3,0.0,98.0,6.37,98.0,0.1,25324.48666,0.9,1.0,0.826,13.5
Cyprus,2006,19,713426,Developed,78.8,64.0,0.0,11.47,1700.841534,93.0,0.0,55.8,0.0,97.0,6.28,97.0,0.1,27169.99256,0.9,1.0,0.829,13.4
Cyprus,2007,19,728566,Developed,78.9,63.0,0.0,11.56,1958.525877,93.0,0.0,56.3,0.0,97.0,6.5,97.0,0.1,31386.63265,0.9,1.0,0.836,13.5
Cyprus,2008,41,747034,Developed,79.1,62.0,0.0,12.01,239.6409938,93.0,1.0,56.8,0.0,97.0,6.89,97.0,0.1,3539.7488,0.9,1.0,0.844,13.7
Cyprus,2009,32,767174,Developed,79.3,6.0,0.0,10.8,230.2524184,96.0,0.0,57.3,0.0,99.0,7.4,99.0,0.1,3215.8159,0.9,1.0,0.849,14.1
Cyprus,2010,38,787081,Developed,79.5,59.0,0.0,11.32,283.3300258,96.0,18.0,57.8,0.0,99.0,7.23,99.0,0.1,3818.46396,0.9,1.0,0.853,14.6
Cyprus,2011,30,800820,Developed,79.7,57.0,0.0,10.69,2443.325028,96.0,0.0,58.3,0.0,99.0,7.54,99.0,0.1,32233.83942,0.9,1.0,0.847,13.8
Cyprus,2012,36,814305,Developed,80.0,56.0,0.0,10.55,2159.756205,96.0,1.0,58.7,0.0,99.0,7.44,99.0,0.1,28951.15556,0.9,1.0,0.85,13.8
Cyprus,2013,45,813016,Developed,81.0,54.0,0.0,9.04,212.0859259,96.0,0.0,59.2,0.0,99.0,7.46,99.0,0.1,2797.96736,0.9,1.0,0.85,13.8
Cyprus,2014,44,804818,Developed,83.0,53.0,0.0,0.01,207.3041936,96.0,10.0,59.8,0.0,99.0,7.37,99.0,0.1,2734.88382,0.9,1.0,0.85,14.0
Cyprus,2015,40,796037,Developed,85.0,52.0,0.0,,0.0,97.0,0.0,6.3,0.0,97.0,,97.0,0.1,2375.1127,1.0,1.0,0.854,14.3
Denmark,2005,631,5089852,Developed,78.1,92.0,0.0,11.28,7627.412444,,2.0,55.0,0.0,93.0,9.77,93.0,0.1,48799.8237,1.2,1.0,0.897,16.6
Denmark,2006,650,5110460,Developed,78.1,93.0,0.0,11.02,850.9544783,,27.0,55.4,0.0,93.0,9.92,93.0,0.1,5226.99311,1.2,0.9,0.902,16.9
Denmark,2007,581,5133001,Developed,78.4,93.0,0.0,10.99,9703.068121,,2.0,55.9,0.0,87.0,9.99,87.0,0.1,58487.451,1.2,0.9,0.904,16.7
Denmark,2008,603,5162525,Developed,78.8,88.0,0.0,10.7,10761.18209,,14.0,56.3,0.0,88.0,1.18,88.0,0.1,64322.6664,1.1,0.9,0.906,16.8
Denmark,2009,622,5192790,Developed,78.9,86.0,0.0,10.08,9765.616994,,6.0,56.6,0.0,89.0,11.47,89.0,0.1,58163.29359,1.1,0.9,0.906,16.8
Denmark,2010,563,5217785,Developed,79.2,84.0,0.0,10.28,954.4865933,,5.0,57.0,0.0,9.0,11.8,9.0,0.1,5841.41122,1.1,0.9,0.906,16.8
Denmark,2011,589,5244150,Developed,79.7,79.0,0.0,10.47,10251.10872,,84.0,57.4,0.0,91.0,1.87,91.0,0.1,61753.667,1.1,0.9,0.91,16.9
Denmark,2012,661,5270539,Developed,80.0,76.0,0.0,9.26,928.4170785,,2.0,57.7,0.0,94.0,1.98,94.0,0.1,5857.521,1.1,0.9,0.922,18.4
Denmark,2013,610,5299698,Developed,81.0,75.0,0.0,9.5,10261.763,,17.0,58.1,0.0,94.0,11.25,94.0,0.1,61191.19263,1.1,0.9,0.924,18.7
Denmark,2014,629,5339166,Developed,84.0,73.0,0.0,9.64,10468.76292,,27.0,58.4,0.0,94.0,1.8,94.0,0.1,62425.5392,1.1,0.9,0.926,19.2
Denmark,2015,564,5383060,Developed,86.0,71.0,0.0,,0.0,,9.0,58.8,0.0,93.0,,93.0,0.1,5314.64416,1.1,0.9,0.923,19.2
Ecuador,2005,943,12217643,Developing,74.2,151.0,8.0,3.54,18.09317114,92.0,0.0,47.2,9.0,89.0,5.87,92.0,0.3,321.942547,1.4,1.3,0.688,12.8
Ecuador,2006,900,12449374,Developing,74.4,144.0,8.0,3.52,19.13983284,96.0,0.0,47.9,9.0,92.0,5.86,96.0,0.3,335.786541,1.4,1.3,0.693,12.8
Ecuador,2007,1005,12677354,Developing,74.7,14.0,7.0,3.63,19.60467787,94.0,0.0,48.6,9.0,95.0,5.94,96.0,0.2,359.71886,1.4,1.3,0.696,12.9
Ecuador,2008,928,12903183,Developing,74.6,139.0,7.0,3.76,197.9303077,93.0,1.0,49.3,9.0,94.0,5.66,96.0,0.1,4274.95265,1.3,1.2,0.698,13.0
Ecuador,2009,964,13130161,Developing,75.1,137.0,7.0,3.87,282.1440066,91.0,0.0,5.0,8.0,91.0,5.58,94.0,0.1,4255.56571,1.3,1.2,0.702,13.1
Ecuador,2010,912,13360285,Developing,75.0,134.0,7.0,3.95,367.9285652,9.0,0.0,5.7,8.0,88.0,5.9,91.0,0.1,4657.32361,1.3,1.2,0.703,13.1
Ecuador,2011,918,13583553,Developing,75.3,131.0,7.0,3.99,344.7412164,88.0,257.0,51.4,8.0,85.0,5.92,88.0,0.1,5223.351763,1.3,1.2,0.71,13.2
Ecuador,2012,976,13815861,Developing,75.5,127.0,7.0,3.92,41.88087712,88.0,72.0,52.1,8.0,85.0,6.48,87.0,0.1,572.14313,1.3,1.2,0.717,13.3
Ecuador,2013,676,14054613,Developing,76.0,121.0,6.0,3.77,59.12850204,87.0,0.0,52.8,8.0,87.0,7.29,87.0,0.1,674.9829,1.3,1.1,0.725,13.4
Ecuador,2014,734,14295145,Developing,76.0,121.0,6.0,3.82,79.11626341,83.0,0.0,53.5,7.0,84.0,9.16,83.0,0.1,6432.216537,1.2,1.1,0.737,14.0
Ecuador,2015,1073,14534024,Developing,76.2,118.0,6.0,,0.0,78.0,0.0,54.2,7.0,84.0,,78.0,0.1,625.62224,1.2,1.1,0.739,14.0
El Salvador,2005,455,5378879,Developing,71.0,213.0,3.0,2.77,440.6027042,89.0,0.0,49.4,3.0,89.0,7.19,89.0,0.2,2835.281237,1.9,1.8,0.644,12.7
El Salvador,2006,411,5429044,Developing,75.0,211.0,3.0,2.77,57.74562629,96.0,0.0,5.1,3.0,96.0,6.68,96.0,0.2,362.951768,1.8,1.7,0.651,12.9
El Salvador,2007,501,5467861,Developing,71.2,23.0,2.0,2.83,52.30172215,99.0,0.0,5.8,3.0,99.0,6.32,99.0,0.3,334.83817,1.8,1.7,0.657,12.9
El Salvador,2008,490,5499287,Developing,71.7,194.0,2.0,2.68,53.95949877,98.0,0.0,51.4,3.0,98.0,6.21,98.0,0.3,357.347674,1.8,1.7,0.659,13.4
El Salvador,2009,506,5528910,Developing,71.4,23.0,2.0,2.55,416.4338399,91.0,0.0,52.1,2.0,91.0,6.83,91.0,0.3,3366.482133,1.7,1.6,0.662,12.8
El Salvador,2010,399,5560453,Developing,72.0,191.0,2.0,2.36,469.3904193,89.0,0.0,52.8,2.0,89.0,6.91,89.0,0.3,3474.392445,1.7,1.6,0.662,12.9
El Salvador,2011,485,5585785,Developing,72.0,197.0,2.0,2.37,549.2783081,89.0,0.0,53.4,2.0,9.0,6.81,89.0,0.3,3736.58713,1.7,1.6,0.666,13.0
El Salvador,2012,512,5618823,Developing,73.0,181.0,2.0,2.48,591.7757569,92.0,0.0,54.1,2.0,93.0,6.7,92.0,0.3,3827.786267,1.6,1.6,0.67,13.2
El Salvador,2013,484,5657250,Developing,73.0,184.0,2.0,2.42,653.6925016,92.0,0.0,54.7,2.0,92.0,6.95,92.0,0.2,3895.664491,1.6,1.6,0.675,13.2
El Salvador,2014,386,5696329,Developing,73.3,181.0,2.0,2.52,665.7260253,93.0,0.0,55.4,2.0,93.0,6.77,94.0,0.2,3988.771871,1.6,1.6,0.676,13.2
Estonia,2005,273,1288495,Developing,72.8,189.0,0.0,15.52,153.5045263,95.0,2.0,55.5,0.0,96.0,5.2,96.0,0.1,1338.31322,2.1,2.2,0.812,15.9
Estonia,2006,247,1278915,Developing,73.0,188.0,0.0,16.58,244.3510801,95.0,27.0,55.9,0.0,95.0,5.1,95.0,0.1,12595.4165,2.1,2.2,0.822,16.1
Estonia,2007,251,1270415,Developing,73.0,189.0,0.0,17.87,1904.12469,95.0,1.0,56.3,0.0,95.0,5.16,95.0,0.1,16586.452,2.0,2.1,0.829,16.1
Estonia,2008,242,1264005,Developing,74.2,167.0,0.0,16.99,225.0723618,94.0,0.0,56.7,0.0,95.0,6.6,95.0,0.1,1894.5485,2.0,2.1,0.835,16.1
Estonia,2009,269,1259010,Developing,74.9,156.0,0.0,15.04,1717.088711,95.0,0.0,57.1,0.0,95.0,6.93,95.0,0.1,14726.31828,2.0,2.0,0.836,16.1
Estonia,2010,223,1254225,Developing,75.6,137.0,0.0,14.97,1802.017593,94.0,0.0,57.6,0.0,94.0,6.25,94.0,0.1,14638.6482,1.9,2.0,0.833,16.2
Estonia,2011,218,1249427,Developing,76.1,138.0,0.0,0.01,2146.945741,94.0,7.0,58.0,0.0,93.0,5.83,93.0,0.1,17454.84342,1.9,2.0,0.838,16.4
Estonia,2012,237,1251631,Developing,76.3,135.0,0.0,0.01,2263.103797,94.0,4.0,58.5,0.0,94.0,6.36,94.0,0.1,17421.8922,1.9,1.9,0.85,16.5
Estonia,2013,218,1243096,Developing,76.9,127.0,0.0,0.01,261.2914808,93.0,2.0,59.0,0.0,94.0,6.48,94.0,0.1,1929.7746,1.9,1.9,0.856,16.5
Estonia,2014,241,1241852,Developing,77.3,122.0,0.0,0.01,2700.07305,93.0,0.0,59.4,0.0,93.0,6.38,93.0,0.1,19941.45532,1.9,1.9,0.86,16.5
Estonia,2015,195,1243450,Developing,77.6,119.0,0.0,,0.0,91.0,4.0,59.9,0.0,93.0,,93.0,0.1,1774.9291,1.9,1.9,0.863,16.5
Fiji,2005,22,732607,Developing,68.3,214.0,0.0,2.02,64.39203443,99.0,0.0,55.1,0.0,97.0,3.61,96.0,0.1,3658.63832,4.1,3.8,0.699,13.9
Fiji,2006,24,737759,Developing,68.5,211.0,0.0,2.06,52.1241634,99.0,136.0,55.9,0.0,98.0,3.84,98.0,0.1,3749.939813,4.1,3.8,0.695,14.0
Fiji,2007,13,745055,Developing,68.6,29.0,0.0,2.09,5.889526221,99.0,0.0,56.6,0.0,99.0,3.74,99.0,0.1,478.82327,4.1,3.8,0.698,14.2
Fiji,2008,37,753658,Developing,68.7,26.0,0.0,1.95,81.04656111,99.0,0.0,57.3,0.0,99.0,3.68,99.0,0.1,4177.657789,4.0,3.7,0.7,14.3
Fiji,2009,26,762403,Developing,68.9,23.0,0.0,2.31,60.65068446,99.0,1.0,58.0,0.0,99.0,4.26,99.0,0.1,3369.48247,4.0,3.7,0.704,14.5
Fiji,2011,38,776325,Developing,69.2,197.0,0.0,0.01,401.7931045,99.0,0.0,59.5,0.0,99.0,4.6,99.0,0.1,4353.121392,4.0,3.7,0.709,14.7
Fiji,2012,32,782939,Developing,69.4,195.0,0.0,0.01,431.4854874,99.0,0.0,6.2,0.0,99.0,4.16,99.0,0.1,4546.73854,4.0,3.7,0.714,14.9
Finland,2005,994,4961784,Developing,78.9,11.0,0.0,9.95,4816.589613,,1.0,58.1,0.0,97.0,8.43,97.0,0.1,38969.17163,0.9,0.8,0.864,17.1
Finland,2006,1062,4979740,Developing,79.2,96.0,0.0,10.15,524.7775227,,0.0,58.6,0.0,97.0,8.38,97.0,0.1,4112.67651,0.9,0.8,0.869,17.2
Finland,2007,995,4998853,Developing,79.3,96.0,0.0,10.45,6147.1323,,0.0,59.0,0.0,97.0,8.9,99.0,0.1,48288.5491,0.9,0.8,0.873,17.2
Finland,2008,1033,5020096,Developing,79.6,94.0,0.0,10.26,678.88112,,5.0,59.4,0.0,97.0,8.35,99.0,0.1,5341.31487,0.9,0.8,0.876,17.1
Finland,2009,1034,5042316,Developing,79.7,91.0,0.0,9.96,579.7384368,,2.0,59.8,0.0,99.0,9.2,99.0,0.1,4717.15571,0.9,0.8,0.878,17.0
Finland,2010,954,5063494,Developing,79.9,89.0,0.0,9.72,591.6691405,,5.0,6.2,0.0,99.0,9.5,99.0,0.1,4622.41516,0.9,0.8,0.874,16.8
Finland,2011,912,5085985,Developing,83.0,86.0,0.0,9.81,71.01620838,,27.0,6.6,0.0,99.0,9.1,99.0,0.1,579.72415,0.9,0.8,0.878,16.9
Finland,2012,873,5110450,Developing,84.0,82.0,0.0,9.24,5889.012536,,0.0,61.0,0.0,99.0,9.3,99.0,0.1,47415.55987,0.9,0.8,0.884,17.0
Finland,2013,887,5135433,Developing,87.0,79.0,0.0,8.97,6115.496624,,2.0,61.4,0.0,98.0,9.55,98.0,0.1,49638.7713,0.9,0.8,0.887,17.0
Finland,2014,789,5159944,Developing,89.0,78.0,0.0,8.8,6164.455402,,0.0,61.7,0.0,98.0,9.68,98.0,0.1,49914.61864,0.9,0.8,0.89,17.0
Finland,2015,731,5181797,Developing,81.1,76.0,0.0,,0.0,,2.0,62.1,0.0,97.0,,97.0,0.1,4245.39744,0.9,0.8,0.893,17.0
France,2005,10713,57160687,Developing,81.0,93.0,3.0,12.2,5451.701225,35.0,36.0,57.5,4.0,98.0,1.6,98.0,0.1,34879.72633,0.6,0.6,0.86,15.5
France,2006,10423,57824447,Developing,86.0,92.0,3.0,12.4,5689.991931,39.0,40.0,58.0,4.0,99.0,1.53,99.0,0.1,36544.5853,0.6,0.6,0.87,16.1
France,2007,10127,58167011,Developing,89.0,89.0,3.0,12.2,64.73714894,42.0,39.0,58.6,3.0,99.0,1.45,98.0,0.1,416.58397,0.6,0.6,0.873,16.1
France,2008,10353,58482967,Developing,89.0,88.0,3.0,11.9,7002.785925,47.0,604.0,59.1,3.0,98.0,1.57,98.0,0.1,45413.6571,0.6,0.6,0.877,16.1
France,2009,10499,58770727,Developing,81.1,88.0,3.0,11.8,6415.35735,51.0,1541.0,59.6,3.0,98.0,11.28,98.0,0.1,41631.13141,0.6,0.6,0.879,16.0
France,2010,10379,59056283,Developing,81.3,86.0,3.0,11.7,72.8001211,65.0,5048.0,6.1,3.0,99.0,11.2,99.0,0.1,473.34279,0.6,0.6,0.879,16.0
France,2011,10408,59344643,Developing,81.7,83.0,3.0,11.8,683.9190568,74.0,14949.0,6.6,3.0,99.0,11.33,99.0,0.1,4381.288,0.6,0.6,0.882,16.1
France,2012,9743,59638457,Developing,81.5,83.0,3.0,11.5,751.3793553,78.0,0.0,61.1,3.0,99.0,11.44,99.0,0.1,4838.2444,0.6,0.6,0.885,16.1
France,2013,9600,59910069,Developing,82.0,81.0,3.0,11.1,6646.953935,74.0,272.0,61.6,3.0,99.0,11.56,99.0,0.1,42554.1225,0.6,0.6,0.887,16.2
France,2014,8881,60275954,Developing,82.2,79.0,3.0,11.5,6739.677606,83.0,267.0,62.0,3.0,98.0,11.54,98.0,0.1,42955.24287,0.6,0.6,0.89,16.2
Georgia,2005,87,4132000,Developing,73.9,128.0,1.0,4.7,9.444875415,79.0,1356.0,48.6,1.0,82.0,8.6,82.0,0.1,153.57521,2.8,2.9,0.703,12.2
Georgia,2006,72,4166500,Developing,73.9,126.0,1.0,6.18,110.1138286,84.0,334.0,49.2,1.0,89.0,8.39,88.0,0.1,1872.68416,2.7,2.9,0.714,12.6
Georgia,2007,104,4154900,Developing,74.4,12.0,1.0,8.65,106.164686,94.0,44.0,49.9,1.0,88.0,8.17,98.0,0.1,2492.12878,2.7,2.9,0.722,12.5
Georgia,2009,188,4158750,Developing,73.2,133.0,1.0,6.66,18.5314303,54.0,23.0,51.3,1.0,93.0,1.19,88.0,0.1,276.588512,2.6,2.8,0.734,12.8
Georgia,2010,112,4193800,Developing,73.8,132.0,1.0,7.24,194.1732658,95.0,22.0,52.0,1.0,88.0,1.5,92.0,0.1,2964.47734,2.6,2.8,0.738,13.3
Georgia,2011,99,4202600,Developing,73.9,127.0,1.0,8.14,198.94876,89.0,64.0,52.8,1.0,88.0,9.38,94.0,0.1,3725.63221,2.6,2.8,0.742,13.3
Georgia,2012,104,4200900,Developing,74.2,13.0,1.0,7.71,158.2576025,92.0,31.0,53.6,1.0,93.0,8.57,92.0,0.1,4142.869175,2.6,2.8,0.749,13.4
Georgia,2013,157,4192600,Developing,74.5,128.0,1.0,5.91,180.3787034,96.0,7872.0,54.4,1.0,94.0,7.25,93.0,0.1,4274.376857,2.7,2.8,0.755,13.5
Georgia,2014,194,3470600,Developing,74.5,125.0,1.0,6.13,221.482875,91.0,3188.0,55.3,1.0,91.0,7.42,91.0,0.1,4429.6575,2.7,2.8,0.759,13.5
Georgia,2015,192,3458400,Developing,74.4,129.0,1.0,,0.0,94.0,431.0,56.2,1.0,91.0,,94.0,0.1,3764.64912,2.7,2.8,0.768,13.9
Germany,2005,10270,78851254,Developed,79.2,85.0,3.0,11.67,6012.92584,9.0,778.0,57.6,3.0,95.0,1.52,96.0,0.1,34696.6292,1.1,1.1,0.884,16.4
